Study,effect size,lower limit,upper limit
,,,
PTG,,,
Gebler & Maercker ,0.01,-0.64,0.67
Gebler & Maercker ,0.09,-0.56,0.75
Kallay & Baban ,0.18,-0.11,0.47
Slavin-Spenny ,0.21,-0.13,0.53
Smith et al. ,0.17,0.08,0.27
Ulrich ,0.26,-0.03,0.55
Lancaster ,-0.07,-0.36,0.23
Lu et al. ,0.21,-0.25,0.66
Lu et al. ,-0.02,-0.43,0.47
QOL,,,
EW Kidney Transplants ,2.06,1.37,2.74
EW and Breast Cancer (baseline to one month) ,0.7,0.26,1.12
EW and Breast Cancer (six months) ,-0.23,-0.61,0.16
Lu et al. ,0.19,-0.27,0.64
Lu et al. ,-0.02,-0.43,0.47
Gellaitry ,0.21,-0.12,0.53
Gellaitry ,-0.08,-0.4,0.24
Gellaitry ,0.13,-0.19,0.45
Average,0.21,-0.16,0.63
PTG Average,0.12,-0.27,0.51
QOL Average,0.37,-0.05,0.79